station_code,station_name,station_ename,lat,lon
1213,大林,Dalin,23.600800,120.455717
1214,民雄,Minxiong,23.555199,120.431667
1241,嘉北,Jiabei,23.499805,120.448453
1215,嘉義,Chiayi,23.479089,120.441106
1217,水上,Shuishang,23.433976,120.399706
1218,南靖,Nanjing,23.413433,120.386539
1219,後壁,Houbi,23.3662336,120.3605376
1220,新營,Xinying,23.3067226,120.3231129
1221,柳營,Liuying,23.277502,120.322574
1222,林鳳營,Linfengying,23.2425712,120.3210204
1223,隆田,Longtian,23.192707,120.319202
1224,拔林,Balin,23.1726018,120.3213085
1225,善化,Shanhua,23.133327,120.306553
1244,南科,Nanke,23.1073295,120.3020618
1226,新市,Xinshi,23.068228,120.289992
1227,永康,Yongkang,23.038392,120.253455
1239,大橋,Daqiao,23.0193147,120.2243265
1228,臺南,Tainan,22.997037,120.212655
1229,保安,Baoan,22.9329597,120.2316458
1243,仁德,Rende,22.9234,120.240447
1230,中洲,Zhongzhou,22.9045637,120.2526862
NULL,雲林,Yunlin,23.7363,120.4166
NULL,中央號誌,"Central Signal",22.2749538,120.7414932
NULL,枋野號誌站,Fangye,22.280849,120.717102
NULL,古莊車站,"Guzhuang Station",22.3455311,120.8780089
NULL,中央號誌站,"Zhongyanghaozhi Station",22.2749538,120.7414932
NULL,阿里山,Alishan,23.5191736,120.8066818
NULL,北門,Beimen,23.488556,120.454665
NULL,嘉義,Chiayi,23.4594976,120.3232815
NULL,祝山,Chushan,23.510242,120.8231263
NULL,對高岳,Duigaoyue,23.519655,120.820088
NULL,多林,Duolin,23.498744,120.7305249
NULL,獨立山,Dulishan,23.538643,120.607699
NULL,二萬平,Erwanping,23.5089758,120.7901494
NULL,奮起湖,Fenqihu,23.505324,120.695108
NULL,交力坪,Jiaoliping,23.5314592,120.6437965
NULL,梨園寮,Liyuanliao,23.54236,120.620025
NULL,鹿麻產,Lumachan,23.504200,120.531425
NULL,木履寮,Mululiao,23.537355,120.577142
NULL,屏遮那,Pingzhena,23.5111446,120.7802124
NULL,神木,Shenmu,23.5191736,120.8066818
NULL,十字路,Shizilu,23.492747,120.754739
NULL,水社寮,Shuisheliao,23.5043991,120.6595746
NULL,樟腦寮,Zhangnaoliao,23.5329506,120.6024605
NULL,沼平,Zhaoping,23.51441,120.813871
NULL,竹崎,Zhuqi,23.525837,120.553579
