Station_ID,Name_EN,Name_JP,Latitude,Longitude
9933012,Nanai Station,七井駅（なない）,36.4930647,140.0966153
2100414,Nanakōdai Station,七光台駅（ななこうだい）,35.9705985,139.8529451
1141422,Nanakubo Station,七久保駅（ななくぼ）,35.6546940,137.9114260
1141919,Nanao Station,七尾駅（ななお）,37.0422357,136.9638232
2100405,Nanasato Station,七里駅（ななさと）,35.9363894,139.6658159
9921620,Nanatsugatake-Tozanguchi Station,七ヶ岳登山口駅（ななつがたけとざんぐち）,37.1241790,139.7173810
1171420,Nanatsuka Station,七塚駅（ななつか）,34.8445949,132.9862173
9941702,Nanatsuya Station,七ツ屋駅（ななつや）,36.5829452,136.6517686
9952907,Nanawa Station,七和駅（ななわ）,35.0689570,136.6158530
1192820,Nangō Station,南郷駅（なんごう）,31.5359701,131.3726531
9932718,Nanjai Station,南蛇井駅（なんじゃい）,36.2380765,138.8138092
1141516,Nanjō Station,南条駅（なんじょう）,35.8321987,136.1930839
1122702,Nanukamachi Station,七日町駅（なぬかまち）,37.5014696,139.9191494
9921102,Nanyō Shiyakusho Station,南陽市役所,38.0554018,140.1490554
1170112,Naoe Station,直江駅（なおえ）,35.3842482,132.8082180
1140321,Naoetsu Station,直江津駅（なおえつ）,37.1702640,138.2422616
1190704,Naokawa Station,直川駅（なおかわ）,32.8989180,131.7797450
1190703,Naomi Station,直見駅（なおみ）,32.9287170,131.8082020
1160704,Nara Station,奈良駅（なら）,34.6806214,135.8189213
1192512,Naraguchi Station,那良口駅（ならぐち）,32.2437180,130.6678520
1163405,Narahara Station,楢原駅（ならはら）,35.0193350,134.1896400
1141135,Narai Station,奈良井駅（ならい）,35.9691070,137.8155605
9932905,Narashino Station,習志野駅（ならしの）,35.7149937,140.0427913
3000914,Narawa Station,成岩,34.8856792,136.9215715
1160703,Narayama Station,平城山駅（ならやま）,34.7106044,135.8100122
2100110,Narimasu Station,成増駅（なります）,35.7780611,139.6328675
1132705,Narita Airport Terminal 1 Station,成田空港駅,35.7639830,140.3846440
1132703,Narita Station,成田駅（なりた）,35.7778486,140.3140874
2300609,Narita Yukawa Station,成田湯川駅（なりたゆかわ）,35.7994785,140.2913031
9991105,Naruishi Station,鳴石駅（なるいし）,33.2999580,129.8166980
1122114,Naruko-Gotenyu Station,鳴子御殿湯駅（なるこごてんゆ）,38.7445129,140.7373203
1122115,Naruko-Onsen Station,鳴子温泉駅（なるこおんせん）,38.7435480,140.7162868
3000127,Narumi Station,鳴海駅（なるみ）,35.0786240,136.9508360
3500113,Naruo Station,鳴尾駅（なるお）,34.7196637,135.3701321
1120432,Narusawa Station,鳴沢駅（なるさわ）,40.7821890,140.2676170
1130610,Naruse Station,成瀬駅（なるせ）,35.5353004,139.4729739
2101202,Narushima Station (Gunma),成島駅 (群馬県)（なるしま）,36.2491413,139.5057885
1121904,Narushima Station (Yamagata),成島駅 (山形県)（なるしま）,37.9432160,140.0755388
9961303,Narutaki Station,鳴滝駅（なるたき）,35.0236370,135.7057831
1131420,Narutō Station,成東駅（なるとう）,35.6083867,140.4108590
1180501,Naruto Station,鳴門駅（なると）,34.1793454,134.6088855
1131932,Nasu-Shiobara Station,那須塩原駅（なすしおばら）,36.9315997,140.0205916
1191604,Nata Station,奈多駅（なた）,33.6864600,130.4119830
1163625,Nate Station,名手駅（なて）,34.2730501,135.4338482
1123139,Natori Station,名取駅（なとり）,38.1733454,140.8827984
1122806,Natsui Station,夏井駅（なつい）,37.2529550,140.6627500
3000810,Nawa Station (Aichi),名和駅 (愛知県)（なわ）,35.0607360,136.9117999
1161637,Nawa Station (Tottori),名和駅 (鳥取県)（なわ）,35.5075312,133.4920511
1111521,Nayoro Station,名寄駅（なよろ）,44.3490252,142.4654803
1130118,Nebukawa Station,根府川駅（ねぶかわ）,35.2026663,139.1387321
1140939,Nechi Station,根知,36.9665150,137.8669060
