X,Y,Station_Na,Latitude,Longitude
-75.21643676,39.94360933,49th Street,39.94360933,-75.21643676
-75.24657374,39.87599215,Airport Terminal A,39.87599215,-75.24657374
-75.24463272,39.87638033,Airport Terminal B,39.87638033,-75.24463272
-75.24154241,39.87732249,Airport Terminals C&D,39.87732249,-75.24154241
-75.24004,39.87898096,Airport Terminals E&F,39.87898096,-75.24004
-75.16542599,40.00385904,Allegheny,40.00385904,-75.16542599
-75.19492512,40.05745792,Allen Lane,40.05745792,-75.19492512
-75.22435961,40.15282723,Ambler,40.15282723,-75.22435961
-75.23853412,39.94483437,Angora,39.94483437,-75.23853412
-75.15316411,40.11413005,Ardsley,40.11413005,-75.15316411
-75.22776262,40.00104271,Bala,40.00104271,-75.22776262
-75.44246238,40.04808862,Berwyn,40.04808862,-75.44246238
-75.0686901,40.1164771,Bethayres,40.1164771,-75.0686901
-75.06994308,40.01068534,Bridesburg,40.01068534,-75.06994308
-74.85481976,40.10493855,Bristol,40.10493855,-74.85481976
-75.31584088,40.02191592,Bryn Mawr,40.02191592,-75.31584088
-75.19161898,40.05092801,Carpenter,40.05092801,-75.19161898
-75.21107297,40.28778027,Chalfont,40.28778027,-75.21107297
-75.18109627,40.02995956,Chelten Avenue,40.02995956,-75.18109627
-75.09286918,40.05787068,Cheltenham,40.05787068,-75.09286918
-75.35993079,39.84955252,Chester T.C.,39.84955252,-75.35993079
-75.20775896,40.08104161,Chestnut Hill East,40.08104161,-75.20775896
-75.20851217,40.07622818,Chestnut Hill West,40.07622818,-75.20851217
-75.67314704,39.69453224,Churchmans Crossing,39.69453224,-75.67314704
-75.45199396,39.79785217,Claymont,39.79785217,-75.45199397
-75.29032688,39.92667114,Clifton-Aldan,39.92667114,-75.29032688
-75.25407914,40.26849547,Colmar,40.26849547,-75.25407914
